Elevation_ft_NAVD88,Elevation_ft_NGVD29,Area_acres_01,Capacity_acrefeet_01,Area_acres_int,Capacity_acrefeet_int,Area_percent_dif,Capacity_percent_dif
3160,3157.09,69.19,1533.52,69.2,1533.51,0.01,0
3160.01,3157.1,69.19,1534.2,69.2,1534.2,0.01,0
3160.02,3157.11,69.2,1534.89,69.2,1534.89,0.01,0
3160.03,3157.12,69.2,1535.58,69.21,1535.59,0.01,0
3160.04,3157.13,69.21,1536.28,69.21,1536.28,0,0
3160.05,3157.14,69.21,1536.97,69.21,1536.97,0,0
3160.06,3157.15,69.21,1537.66,69.21,1537.66,0,0
3160.07,3157.16,69.21,1538.36,69.22,1538.35,0,0
3160.08,3157.17,69.22,1539.05,69.22,1539.05,0,0
3160.09,3157.18,69.22,1539.74,69.22,1539.74,0,0
3160.1,3157.19,69.23,1540.44,69.23,1540.43,0,0
3160.11,3157.2,69.23,1541.13,69.23,1541.12,0,0
3160.12,3157.21,69.23,1541.82,69.23,1541.81,0,0
3160.13,3157.22,69.24,1542.51,69.24,1542.51,0,0
3160.14,3157.23,69.24,1543.21,69.24,1543.2,0,0
3160.15,3157.24,69.25,1543.9,69.24,1543.89,0,0
3160.16,3157.25,69.25,1544.59,69.25,1544.59,0,0
3160.17,3157.26,69.25,1545.27,69.25,1545.28,0,0
3160.18,3157.27,69.25,1545.97,69.25,1545.97,0,0
3160.19,3157.28,69.26,1546.66,69.26,1546.66,0,0
3160.2,3157.29,69.26,1547.35,69.26,1547.36,0,0
3160.21,3157.3,69.26,1548.05,69.26,1548.05,0,0
3160.22,3157.31,69.26,1548.74,69.27,1548.74,0,0
3160.23,3157.32,69.27,1549.43,69.27,1549.43,0.01,0
3160.24,3157.33,69.27,1550.13,69.27,1550.13,0.01,0
3160.25,3157.34,69.27,1550.82,69.28,1550.82,0.01,0
3160.26,3157.35,69.28,1551.52,69.28,1551.51,0.01,0
3160.27,3157.36,69.28,1552.21,69.28,1552.2,0,0
3160.28,3157.37,69.28,1552.9,69.29,1552.9,0.01,0
3160.29,3157.38,69.29,1553.6,69.29,1553.59,0.01,0
3160.3,3157.39,69.29,1554.29,69.3,1554.28,0.01,0
3160.31,3157.4,69.29,1554.98,69.3,1554.98,0.01,0
3160.32,3157.41,69.3,1555.68,69.3,1555.67,0.01,0
3160.33,3157.42,69.3,1556.36,69.31,1556.36,0.01,0
3160.34,3157.43,69.31,1557.05,69.31,1557.05,0.01,0
3160.35,3157.44,69.31,1557.75,69.31,1557.75,0,0
3160.36,3157.45,69.31,1558.44,69.32,1558.44,0,0
3160.37,3157.46,69.32,1559.13,69.32,1559.13,0,0
3160.38,3157.47,69.32,1559.83,69.32,1559.82,0,0
3160.39,3157.48,69.32,1560.52,69.33,1560.52,0,0
3160.4,3157.49,69.33,1561.22,69.33,1561.21,0,0
3160.41,3157.5,69.33,1561.91,69.33,1561.9,0,0
3160.42,3157.51,69.33,1562.6,69.34,1562.59,0,0
3160.43,3157.52,69.34,1563.3,69.34,1563.29,0,0
3160.44,3157.53,69.34,1563.99,69.34,1563.98,0,0
3160.45,3157.54,69.35,1564.69,69.35,1564.68,0,0
3160.46,3157.55,69.35,1565.38,69.35,1565.37,0,0
3160.47,3157.56,69.36,1566.08,69.35,1566.06,0,0
3160.48,3157.57,69.36,1566.77,69.36,1566.76,0,0
3160.49,3157.58,69.36,1567.45,69.36,1567.45,0,0
3160.5,3157.59,69.37,1568.15,69.36,1568.15,0,0
3160.51,3157.6,69.37,1568.84,69.37,1568.84,0,0
3160.52,3157.61,69.37,1569.53,69.37,1569.53,0,0
3160.53,3157.62,69.38,1570.23,69.37,1570.23,0,0
3160.54,3157.63,69.38,1570.92,69.38,1570.92,0,0
3160.55,3157.64,69.39,1571.62,69.38,1571.62,-0.01,0
3160.56,3157.65,69.39,1572.31,69.38,1572.31,-0.01,0
3160.57,3157.66,69.39,1573.01,69.39,1573.01,-0.01,0
3160.58,3157.67,69.4,1573.7,69.39,1573.7,-0.01,0
3160.59,3157.68,69.4,1574.4,69.39,1574.39,-0.01,0
3160.6,3157.69,69.4,1575.09,69.4,1575.09,-0.01,0
3160.61,3157.7,69.4,1575.79,69.4,1575.78,-0.01,0
3160.62,3157.71,69.41,1576.48,69.4,1576.48,0,0
3160.63,3157.72,69.41,1577.18,69.41,1577.17,0,0
3160.64,3157.73,69.41,1577.87,69.41,1577.87,0,0
3160.65,3157.74,69.42,1578.57,69.41,1578.56,0,0
3160.66,3157.75,69.42,1579.25,69.42,1579.25,0,0
